GEOID,STATEFP,STATE,COUNTYFP,COUNTY,MEDN_INC23,TOT_HOUS23,LESS_10K23,10K_15K23,15K_20K23,20K_25K23,25K_30K23,30K_35K23,35K_40K23,40K_45K23,45K_50K23,50K_60K23,60K_75K23,75K_100K23,100_125K23,125_150K23,150_200K23,200K_MOR23
120779501001,12, Florida,077, Liberty County,56993.0,350,6,0,7,14,45,6,9,4,29,69,32,34,9,51,4,31
120779501002,12, Florida,077, Liberty County,47292.0,564,83,31,12,75,25,0,12,11,49,31,115,43,21,34,5,17
120779502011,12, Florida,077, Liberty County,55625.0,456,14,0,19,9,2,29,29,71,32,55,53,46,29,10,19,39
120779502012,12, Florida,077, Liberty County,57292.0,471,0,31,86,0,3,18,22,36,15,86,36,2,12,85,23,16
120779502013,12, Florida,077, Liberty County,45750.0,157,22,36,0,0,7,2,7,0,15,20,0,14,16,18,0,0
120779502021,12, Florida,077, Liberty County,39107.0,339,81,20,22,9,11,18,11,1,7,0,72,35,28,20,1,3
120779502022,12, Florida,077, Liberty County,46375.0,217,1,2,66,6,15,3,0,10,12,3,36,21,30,0,12,0
120779800001,12, Florida,077, Liberty County,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120270101011,12, Florida,027, DeSoto County,,342,0,9,115,8,11,0,26,0,0,12,9,66,34,0,0,52
120270101012,12, Florida,027, DeSoto County,,230,30,18,0,0,33,0,59,0,0,0,11,0,64,0,0,15
120270101013,12, Florida,027, DeSoto County,73478.0,662,25,32,11,0,27,17,0,0,52,52,129,129,147,0,41,0
120270101014,12, Florida,027, DeSoto County,52750.0,544,18,0,27,0,66,52,28,32,27,56,133,37,28,7,10,23
120270101021,12, Florida,027, DeSoto County,106618.0,254,0,0,0,31,0,0,0,0,0,23,5,44,36,86,7,22
120270101022,12, Florida,027, DeSoto County,60572.0,721,18,0,72,42,11,45,4,22,30,95,185,74,35,77,11,0
120270102001,12, Florida,027, DeSoto County,52892.0,366,0,0,0,33,8,68,0,0,66,51,61,19,18,42,0,0
120270102002,12, Florida,027, DeSoto County,39229.0,599,0,15,41,58,98,0,110,112,0,0,81,10,22,0,52,0
120270102003,12, Florida,027, DeSoto County,31592.0,367,7,64,43,9,0,95,0,0,37,20,5,15,43,18,11,0
120270102004,12, Florida,027, DeSoto County,39238.0,677,47,161,69,0,8,25,41,28,145,34,8,51,46,0,14,0
120270102005,12, Florida,027, DeSoto County,41563.0,173,0,0,15,0,34,10,20,62,9,0,0,23,0,0,0,0
120270103011,12, Florida,027, DeSoto County,48813.0,771,25,36,64,70,53,57,50,0,40,73,133,89,7,0,74,0
120270103012,12, Florida,027, DeSoto County,85949.0,222,0,0,0,0,11,0,0,0,16,37,17,125,6,0,10,0
120270103013,12, Florida,027, DeSoto County,28621.0,1055,115,53,94,126,177,129,14,26,0,167,68,86,0,0,0,0
120270103014,12, Florida,027, DeSoto County,86838.0,260,33,0,22,0,0,0,0,0,12,30,0,59,0,71,0,33
120270103021,12, Florida,027, DeSoto County,47036.0,211,34,12,11,0,0,0,2,18,35,9,8,75,0,0,0,7
120270103022,12, Florida,027, DeSoto County,9514.0,262,138,21,24,0,0,6,5,0,36,0,0,27,0,0,5,0
120270103023,12, Florida,027, DeSoto County,47381.0,280,40,19,24,0,31,6,0,0,88,0,43,19,0,10,0,0
120270104031,12, Florida,027, DeSoto County,53902.0,729,66,41,42,79,3,15,12,8,7,133,19,129,60,15,79,21
120270104032,12, Florida,027, DeSoto County,62544.0,742,12,23,28,22,25,58,12,17,19,154,78,102,70,27,40,55
120270104041,12, Florida,027, DeSoto County,38766.0,721,146,0,27,78,44,0,104,8,13,61,74,41,39,0,74,12
120270104042,12, Florida,027, DeSoto County,39115.0,381,33,13,0,9,46,10,88,38,0,8,23,39,7,40,0,27
120270104051,12, Florida,027, DeSoto County,57292.0,781,12,8,34,15,35,58,32,0,59,205,100,98,60,28,24,13
120270104061,12, Florida,027, DeSoto County,80208.0,635,0,0,0,10,61,14,46,0,23,0,160,190,8,47,72,4
120270104062,12, Florida,027, DeSoto County,44773.0,226,21,0,24,17,22,0,19,11,0,32,15,65,0,0,0,0
120270104063,12, Florida,027, DeSoto County,43083.0,445,30,0,7,31,151,0,0,15,0,77,31,52,6,37,8,0
121150001021,12, Florida,115, Sarasota County,60205.0,420,11,0,0,0,28,70,16,36,13,30,93,19,0,5,93,6
121150001022,12, Florida,115, Sarasota County,,526,21,51,86,30,11,46,0,0,7,20,0,76,12,50,60,56
121150001023,12, Florida,115, Sarasota County,74167.0,1074,12,88,39,12,37,49,34,28,60,142,38,120,137,71,48,159
121150001031,12, Florida,115, Sarasota County,,427,63,0,30,16,16,0,37,42,0,0,0,62,48,56,26,31
121150001032,12, Florida,115, Sarasota County,79754.0,1477,69,67,104,136,11,16,15,0,63,120,41,280,118,86,70,281
121150001033,12, Florida,115, Sarasota County,125938.0,694,47,0,0,47,12,44,0,19,0,0,58,25,83,135,18,206
