GEOID,STATEFP,STATE,COUNTYFP,COUNTY,TOT_POP23,C_US_BRN23,C_PR_BRN23,C_AB_BRN23,C_NTRLZN23,NOT_CIT23
51001,51, Virginia,001,Accomack County,33326,29919,120,303,751,2233
51003,51, Virginia,003,Albemarle County,113683,100009,370,1615,5161,6528
51005,51, Virginia,005,Alleghany County,14962,14635,25,122,85,95
51007,51, Virginia,007,Amelia County,13342,13126,0,53,10,153
51009,51, Virginia,009,Amherst County,31385,30711,69,86,335,184
51011,51, Virginia,011,Appomattox County,16424,16119,13,46,96,150
51013,51, Virginia,013,Arlington County,235463,176656,1363,5761,26659,25024
51015,51, Virginia,015,Augusta County,77713,74501,35,1060,791,1326
51017,51, Virginia,017,Bath County,4123,4015,0,71,10,27
51019,51, Virginia,019,Bedford County,80254,77304,205,622,1119,1004
51021,51, Virginia,021,Bland County,6211,6181,0,2,26,2
51023,51, Virginia,023,Botetourt County,33875,32964,94,215,469,133
51025,51, Virginia,025,Brunswick County,15868,15302,0,184,47,335
51027,51, Virginia,027,Buchanan County,19857,19602,14,110,32,99
51029,51, Virginia,029,Buckingham County,16914,16487,13,133,88,193
51031,51, Virginia,031,Campbell County,55398,53079,9,337,875,1098
51033,51, Virginia,033,Caroline County,31541,29932,15,171,745,678
51035,51, Virginia,035,Carroll County,29158,28586,9,58,118,387
51036,51, Virginia,036,Charles City County,6686,6451,4,68,82,81
51037,51, Virginia,037,Charlotte County,11475,11398,0,5,51,21
51041,51, Virginia,041,Chesterfield County,371610,328652,2794,4974,17260,17930
51043,51, Virginia,043,Clarke County,15060,13999,0,189,438,434
51045,51, Virginia,045,Craig County,4881,4810,28,16,27,0
51047,51, Virginia,047,Culpeper County,53563,47406,409,461,2160,3127
51049,51, Virginia,049,Cumberland County,9745,9570,0,39,84,52
51051,51, Virginia,051,Dickenson County,13920,13800,0,55,42,23
51053,51, Virginia,053,Dinwiddie County,28083,26883,67,242,444,447
51057,51, Virginia,057,Essex County,10604,10053,210,13,121,207
51059,51, Virginia,059,Fairfax County,1144474,759476,5921,26695,213675,138707
51061,51, Virginia,061,Fauquier County,73935,66353,172,971,3371,3068
51063,51, Virginia,063,Floyd County,15560,15035,3,108,241,173
51065,51, Virginia,065,Fluvanna County,27764,26579,62,321,616,186
51067,51, Virginia,067,Franklin County,54958,53290,97,319,614,638
51069,51, Virginia,069,Frederick County,93355,84290,540,1116,3147,4262
