GEOID20,NAME,STATE,COUNTY,STATEFP,COUNTYFP,C_TOT23,CTOTMOE,C_NHS23,CNHSMOE,C_AMI23,CAMIMOE,C_ASI23,CASIMOE,C_BLA23,CBLAMOE,C_NHP23,CNHPMOE,C_WHT23,CWHTMOE,C_AIW23,CAIWMOE,C_ASW23,CASWMOE,C_BLW23,CBLWMOE,C_AIB23,CAIBMOE,C_2OM23,C2OMMOE,C_HSP23,CHSPMOE,C_AIA23,CAIAMOE,C_ASN23,CASNMOE,C_BLK23,CBLKMOE,CVAP_TOT23,CVAPTOTMOE,CVAP_NHS23,CVAPNHSMOE,CVAP_AMI23,CVAPAMIMOE,CVAP_ASI23,CVAPASIMOE,CVAP_BLA23,CVAPBLAMOE,CVAP_NHP23,CVAPNHPMOE,CVAP_WHT23,CVAPWHTMOE,CVAP_AIW23,CVAPAIWMOE,CVAP_ASW23,CVAPASWMOE,CVAP_BLW23,CVAPBLWMOE,CVAP_AIB23,CVAPAIBMOE,CVAP_2OM23,CVAP2OMMOE,CVAP_HSP23,CVAPHSPMOE,CVAP_AIA23,CVAPAIAMOE,CVAP_ASN23,CVAPASNMOE,CVAP_BLK23,CVAPBLKMOE,ALL_TOT23,ALLTOTMOE,ALL_NHS23,ALLNHSMOE,ALL_AMI23,ALLAMIMOE,ALL_ASI23,ALLASIMOE,ALL_BLA23,ALLBLAMOE,ALL_NHP23,ALLNHPMOE,ALL_WHT23,ALLWHTMOE,ALL_AIW23,ALLAIWMOE,ALL_ASW23,ALLASWMOE,ALL_BLW23,ALLBLWMOE,ALL_AIB23,ALLAIBMOE,ALL_2OM23,ALL2OMMOE,ALL_HSP23,ALLHSPMOE,ALL_AIA23,ALLAIAMOE,ALL_ASN23,ALLASNMOE,ALL_BLK23,ALLBLKMOE,VAP_TOT23,VAPTOTMOE,VAP_NHS23,VAPNHSMOE,VAP_AMI23,VAPAMIMOE,VAP_ASI23,VAPASIMOE,VAP_BLA23,VAPBLAMOE,VAP_NHP23,VAPNHPMOE,VAP_WHT23,VAPWHTMOE,VAP_AIW23,VAPAIWMOE,VAP_ASW23,VAPASWMOE,VAP_BLW23,VAPBLWMOE,VAP_AIB23,VAPAIBMOE,VAP_2OM23,VAP2OMMOE,VAP_HSP23,VAPHSPMOE,VAP_AIA23,VAPAIAMOE,VAP_ASN23,VAPASNMOE,VAP_BLK23,VAPBLKMOE
51001,"Accomack County, Virginia",Virginia,Accomack County,51,001,31095,417,28895,302,35,41,190,56,8565,291,0,28,19350,256,210,41,35,52,500,219,10,15,4,28,2195,279,255,59.89,225,76.42,9075,364.51,24330,398,23445,289,35,41,150,34,6505,242,0,28,16430,255,165,40,10,23,130,111,10,15,4,28,890,258,210,59.21,160,41.05,6645,266.66,33325,0,29800,0,35,41,285,52,9050,218,0,28,19675,28,210,41,35,52,500,219,10,15,4,28,3530,0,255,59.89,320,73.54,9560,309.37,26400,43,24295,40,35,41,245,47,6945,114,0,28,16750,28,165,40,10,23,130,111,10,15,4,28,2105,0,210,59.21,255,52.33,7085,159.82
51003,"Albemarle County, Virginia",Virginia,Albemarle County,51,003,107155,799,101715,549,60,33,4275,480,10080,378,35,50,84115,347,395,34,1120,301,1405,346,20,18,215,112,5440,568,475,50.69,5395,566.57,11505,512.76,85550,628,82285,441,40,26,3455,415,7965,245,35,50,69105,289,330,27,560,209,610,199,20,18,170,94,3265,396,390,41.58,4015,464.66,8595,316.15,113685,0,105335,0,60,33,6390,331,10385,354,35,50,85250,31,395,34,1155,316,1410,346,20,18,245,116,8350,0,475,50.69,7545,457.62,11815,495.33,91250,0,85565,0,40,26,5365,249,8205,217,35,50,70165,31,330,27,595,237,615,198,20,18,200,106,5685,0,390,41.58,5960,343.76,8840,294.31
51005,"Alleghany County, Virginia",Virginia,Alleghany County,51,005,14865,36,14715,25,0,21,0,21,820,144,0,21,13680,10,15,27,110,109,95,78,0,21,0,21,155,30,15,40.14,110,111.0,915,165.11,12135,36,12050,25,0,21,0,21,550,112,0,21,11325,11,15,27,110,109,50,44,0,21,0,21,85,31,15,40.14,110,111.0,600,122.15,14960,0,14735,0,0,21,10,17,830,144,0,21,13685,21,15,27,110,109,95,78,0,21,0,21,225,0,15,40.14,120,110.32,925,165.11,12230,0,12070,0,0,21,10,17,555,114,0,21,11330,21,15,27,110,109,50,44,0,21,0,21,155,0,15,40.14,120,110.32,605,123.99
51007,"Amelia County, Virginia",Virginia,Amelia County,51,007,13190,206,13090,227,0,21,4,11,2710,375,0,21,9885,21,180,126,10,22,305,314,0,21,0,21,100,110,180,129.45,14,24.6,3015,489.55,10420,206,10355,225,0,21,4,11,2320,249,0,21,7845,21,180,126,10,22,0,21,0,21,0,21,65,70,180,129.45,14,24.6,2320,250.76,13340,0,13090,227,0,21,4,11,2710,375,0,21,9885,21,180,126,10,22,305,314,0,21,0,21,250,227,180,129.45,14,24.6,3015,489.55,10575,0,10355,225,0,21,4,11,2320,249,0,21,7845,21,180,126,10,22,0,21,0,21,0,21,220,224,180,129.45,14,24.6,2320,250.76
51009,"Amherst County, Virginia",Virginia,Amherst County,51,009,31200,145,30425,52,200,60,180,79,5665,167,20,20,23515,31,170,61,85,64,470,144,50,46,70,50,775,132,420,97.14,265,101.67,6185,225.26,24980,116,24450,57,190,63,100,66,4630,100,20,20,19045,31,145,65,65,45,145,77,50,46,60,47,525,97,385,101.54,165,79.88,4825,134.33,31385,0,30495,0,200,60,220,63,5665,167,20,20,23540,28,170,61,85,64,470,144,50,46,70,50,890,0,420,97.14,305,89.81,6185,225.26,25130,30,24520,30,190,63,145,47,4630,100,20,20,19075,28,145,65,65,45,145,77,50,46,60,47,610,0,385,101.54,210,65.07,4825,134.33
51011,"Appomattox County, Virginia",Virginia,Appomattox County,51,011,16275,108,16050,14,4,7,25,37,2985,184,0,21,12625,16,90,21,15,21,255,150,0,21,55,84,225,107,94,30.51,40,42.54,3240,238.32,12685,107,12570,23,4,7,20,34,2285,108,0,21,10050,11,60,19,0,21,115,75,0,21,45,61,115,109,64,29.17,20,39.96,2400,133.15,16425,0,16055,0,4,7,25,37,2985,184,0,21,12630,21,90,21,15,21,255,150,0,21,55,84,370,0,94,30.51,40,42.54,3240,238.32,12835,19,12575,22,4,7,20,34,2285,108,0,21,10060,21,60,19,0,21,115,75,0,21,45,61,255,0,64,29.17,20,39.96,2400,133.15
51013,"Arlington County, Virginia",Virginia,Arlington County,51,013,210440,1670,182765,1196,340,116,17015,795,20115,601,55,56,136410,701,810,117,4850,506,1945,429,185,113,1035,266,27675,974,1335,199.78,21865,942.37,22245,747.0,169800,1444,150320,1054,225,81,14080,684,15985,478,55,56,114350,626,735,82,2775,406,1205,333,175,112,735,215,19480,903,1135,160.71,16855,795.42,17365,593.23,235465,0,198410,0,340,116,24780,587,22230,451,55,56,141950,31,810,117,4990,523,1990,437,185,113,1080,282,37055,0,1335,199.78,29770,786.19,24405,638.07,192710,0,164580,0,225,81,21170,474,17875,357,55,56,119410,31,735,82,2910,428,1245,343,175,112,780,227,28130,0,1135,160.71,24080,638.64,19295,507.58
51015,"Augusta County, Virginia",Virginia,Augusta County,51,015,76385,320,74255,205,125,102,280,191,3190,330,80,66,69185,102,280,102,305,133,690,268,0,31,125,114,2130,242,405,147.54,585,232.74,3880,426.25,61915,298,60730,165,125,102,215,145,2700,263,80,66,56815,90,205,102,165,83,385,220,0,31,35,41,1185,243,330,147.54,380,167.07,3085,344.28,77715,0,74780,0,125,102,315,207,3395,303,80,66,69365,31,280,102,405,208,690,268,0,31,125,114,2930,0,405,147.54,720,293.45,4085,405.7,63185,0,61200,0,125,102,255,159,2870,239,80,66,56980,31,205,102,265,159,385,220,0,31,35,41,1985,0,330,147.54,520,224.86,3255,326.32
51017,"Bath County, Virginia",Virginia,Bath County,51,017,4095,34,3960,109,15,22,20,30,155,57,0,13,3750,122,0,13,10,17,0,13,0,13,15,30,135,105,15,28.67,30,34.48,155,59.89,3390,165,3310,175,15,22,20,30,155,57,0,13,3100,177,0,13,10,17,0,13,0,13,15,30,75,58,15,28.67,30,34.48,155,59.89,4125,0,3970,112,15,22,20,30,155,57,0,13,3760,126,0,13,10,17,0,13,0,13,15,30,155,112,15,28.67,30,34.48,155,59.89,3415,161,3320,178,15,22,20,30,155,57,0,13,3110,179,0,13,10,17,0,13,0,13,15,30,95,67,15,28.67,30,34.48,155,59.89
51019,"Bedford County, Virginia",Virginia,Bedford County,51,019,79250,229,77460,179,85,56,560,171,4860,315,0,31,69595,124,400,51,340,155,1320,255,0,31,300,168,1790,164,485,81.84,900,230.79,6180,406.46,63570,218,62445,162,60,39,440,143,4210,229,0,31,56630,124,330,39,165,94,415,196,0,31,190,91,1125,154,390,63.27,605,171.13,4625,303.01,80255,0,78080,0,85,56,900,162,4875,315,0,31,69850,31,415,56,340,155,1320,255,0,31,300,168,2175,0,500,85.05,1240,224.21,6195,406.46,64520,0,63025,0,60,39,740,103,4225,226,0,31,56885,31,345,40,165,94,415,196,0,31,190,91,1495,0,405,63.89,905,139.45,4640,300.75
