GEOID,STATEFP,STATE,COUNTYFP,COUNTY,POP_25OV23,N_HSDIP23,HS_DIP23,SOM_COLL23,ASSO_DEG23,BACH_DEG23,MAST_DEG23,PROF_DEG23,DOCT_DEG23
51001,51, Virginia,001,Accomack County,24382,4201,8508,4448,1911,3086,1768,272,188
51003,51, Virginia,003,Albemarle County,77950,4327,11401,10329,4655,23272,15259,4117,4590
51005,51, Virginia,005,Alleghany County,11137,1106,4958,2446,894,975,525,86,147
51007,51, Virginia,007,Amelia County,9724,1404,4295,1788,605,1254,318,60,0
51009,51, Virginia,009,Amherst County,22345,2553,8115,4270,2273,3091,1537,157,349
51011,51, Virginia,011,Appomattox County,11631,925,4694,2509,1118,1774,581,13,17
51013,51, Virginia,013,Arlington County,173227,7925,12340,13849,5539,61874,48072,14832,8796
51015,51, Virginia,015,Augusta County,57537,5293,23475,10939,4434,8972,3271,664,489
51017,51, Virginia,017,Bath County,3189,501,1274,639,279,330,128,25,13
51019,51, Virginia,019,Bedford County,58627,4527,16550,12702,5122,12205,5567,1098,856
51021,51, Virginia,021,Bland County,5018,444,2243,1125,431,548,197,17,13
51023,51, Virginia,023,Botetourt County,25149,1410,9264,4756,2798,4396,1972,319,234
51025,51, Virginia,025,Brunswick County,12026,2476,4409,2484,779,1144,626,95,13
51027,51, Virginia,027,Buchanan County,15167,3410,6461,2584,1067,833,728,56,28
51029,51, Virginia,029,Buckingham County,12712,1941,5640,2598,818,1194,415,54,52
51031,51, Virginia,031,Campbell County,40080,3792,13600,8715,3664,6777,3068,223,241
51033,51, Virginia,033,Caroline County,21829,2329,8569,3962,1903,2994,1547,238,287
51035,51, Virginia,035,Carroll County,22020,3246,8320,4106,2675,2575,799,182,117
51036,51, Virginia,036,Charles City County,5259,622,2290,1076,429,609,170,26,37
51037,51, Virginia,037,Charlotte County,8075,1500,2723,1529,812,862,570,73,6
51041,51, Virginia,041,Chesterfield County,251552,17890,55053,48598,22691,66439,31475,5263,4143
51043,51, Virginia,043,Clarke County,11105,801,3073,2316,775,2578,1087,294,181
51045,51, Virginia,045,Craig County,3420,447,1329,679,373,364,200,0,28
51047,51, Virginia,047,Culpeper County,35970,4282,11730,7274,3186,6255,2497,360,386
51049,51, Virginia,049,Cumberland County,7287,831,2771,1565,796,719,480,60,65
51051,51, Virginia,051,Dickenson County,10345,1903,4433,2037,863,908,187,14,0
51053,51, Virginia,053,Dinwiddie County,20313,1773,7565,4449,2370,2587,1139,241,189
51057,51, Virginia,057,Essex County,7729,1102,3050,1815,408,861,402,51,40
51059,51, Virginia,059,Fairfax County,785190,53146,93833,91273,42320,250081,187728,40083,26726
51061,51, Virginia,061,Fauquier County,50801,4115,12590,10802,3138,12562,5351,1177,1066
51063,51, Virginia,063,Floyd County,11670,985,4389,2139,1469,1654,759,117,158
51065,51, Virginia,065,Fluvanna County,20470,1259,5354,4744,1826,4567,2033,185,502
51067,51, Virginia,067,Franklin County,40083,3780,13732,9196,3624,6237,2733,467,314
51069,51, Virginia,069,Frederick County,65083,7079,20029,13424,4825,11674,6453,1146,453
51071,51, Virginia,071,Giles County,12137,1068,5318,2439,1125,1151,776,98,162
51073,51, Virginia,073,Gloucester County,28778,2533,9306,6875,2623,4740,2038,306,357
51075,51, Virginia,075,Goochland County,19418,968,4360,3528,1437,5121,2771,683,550
51077,51, Virginia,077,Grayson County,11719,1844,4786,2057,1398,1102,426,59,47
51079,51, Virginia,079,Greene County,14550,1475,4599,3031,1298,2699,1124,90,234
51081,51, Virginia,081,Greensville County,8562,1788,3496,1580,518,854,227,47,52
51083,51, Virginia,083,Halifax County,24537,4510,8594,5014,1955,2920,1224,183,137
51085,51, Virginia,085,Hanover County,77969,4409,19005,15074,6450,20550,9280,1850,1351
51087,51, Virginia,087,Henrico County,234295,16355,51077,43601,16092,61964,32811,7480,4915
51089,51, Virginia,089,Henry County,37029,6210,12478,7996,4542,3689,1833,183,98
51091,51, Virginia,091,Highland County,1714,184,591,247,84,381,167,28,32
51093,51, Virginia,093,Isle of Wight County,28286,2213,8596,6422,2585,5023,2716,358,373
51095,51, Virginia,095,James City County,58785,2803,11122,10509,4850,15232,10222,2064,1983
51097,51, Virginia,097,King and Queen County,5220,521,2019,1225,439,749,218,17,32
51099,51, Virginia,099,King George County,18467,1640,4899,3859,1452,3981,2159,158,319
51101,51, Virginia,101,King William County,12744,820,4681,3201,950,2309,658,96,29
51103,51, Virginia,103,Lancaster County,8763,1143,2402,1372,569,1900,730,421,226
51105,51, Virginia,105,Lee County,16604,2936,5884,4262,1418,1514,425,69,96
51107,51, Virginia,107,Loudoun County,278473,16336,32469,35450,15957,100120,63142,8895,6104
51109,51, Virginia,109,Louisa County,28611,3083,9885,5815,1916,4455,2675,393,389
51111,51, Virginia,111,Lunenburg County,8890,1775,3223,2256,641,667,278,37,13
51113,51, Virginia,113,Madison County,10148,1144,3553,2032,617,1430,970,229,173
51115,51, Virginia,115,Mathews County,6537,570,2000,1438,561,1418,439,50,61
51117,51, Virginia,117,Mecklenburg County,22801,3195,7547,4970,2262,2971,1539,241,76
51119,51, Virginia,119,Middlesex County,8501,742,2569,1876,627,1793,615,105,174
51121,51, Virginia,121,Montgomery County,56181,2435,13346,9273,3938,12698,8900,1514,4077
51125,51, Virginia,125,Nelson County,11136,1256,3361,2066,700,2465,906,141,241
51127,51, Virginia,127,New Kent County,17825,963,5059,3682,1798,4442,1596,80,205
51131,51, Virginia,131,Northampton County,9101,1200,2718,1582,639,1751,878,163,170
51133,51, Virginia,133,Northumberland County,9494,912,2607,1941,817,1681,1206,197,133
51135,51, Virginia,135,Nottoway County,11324,1613,4516,2410,885,1399,358,80,63
51137,51, Virginia,137,Orange County,26758,2328,9617,4965,1968,4908,2325,407,240
51139,51, Virginia,139,Page County,17396,2801,8013,2947,987,1629,794,144,81
51141,51, Virginia,141,Patrick County,13723,2140,4945,3012,1536,1577,452,23,38
51143,51, Virginia,143,Pittsylvania County,44901,6394,17593,9535,4458,4823,1798,195,105
51145,51, Virginia,145,Powhatan County,23494,1991,6446,4777,2239,5425,1959,561,96
51147,51, Virginia,147,Prince Edward County,12920,1552,4647,2715,879,1808,896,159,264
51149,51, Virginia,149,Prince George County,27591,2602,8917,6817,2638,4202,1837,312,266
