GEOID,STATEFP,STATE,COUNTYFP,COUNTY,MEDN_INC23,TOT_HOUS23,LESS_10K23,10K_15K23,15K_20K23,20K_25K23,25K_30K23,30K_35K23,35K_40K23,40K_45K23,45K_50K23,50K_60K23,60K_75K23,75K_100K23,100_125K23,125_150K23,150_200K23,200K_MOR23
51001,51, Virginia,001,Accomack County,57500,14302,766,905,578,415,906,679,739,630,505,1115,1767,1815,1342,481,936,723
51003,51, Virginia,003,Albemarle County,102617,45064,1261,1059,809,1158,1214,1256,1282,1153,1106,3216,3599,4886,4768,4040,5902,8355
51005,51, Virginia,005,Alleghany County,55160,6292,487,415,278,307,296,372,211,181,291,663,632,681,536,384,343,215
51007,51, Virginia,007,Amelia County,66339,5285,319,148,106,141,172,203,269,284,401,386,433,1130,380,403,314,196
51009,51, Virginia,009,Amherst County,67298,12702,435,599,537,804,679,515,294,586,474,818,1353,1598,1252,1006,996,756
51011,51, Virginia,011,Appomattox County,62337,6563,379,226,300,386,108,262,457,318,199,539,524,967,872,350,311,365
51013,51, Virginia,013,Arlington County,140160,111530,4005,1870,1691,1628,1704,1842,1601,1738,1596,3987,5686,11691,11464,9234,16677,35116
51015,51, Virginia,015,Augusta County,79972,30644,880,772,1037,1171,1152,1101,1192,1340,984,2319,2433,4976,4271,2712,2357,1947
51017,51, Virginia,017,Bath County,61709,1781,70,133,86,142,47,66,100,59,101,53,127,228,246,73,106,144
51019,51, Virginia,019,Bedford County,77644,32698,1238,913,1017,1051,1080,940,1122,1414,1376,2382,3368,4693,3371,2631,3144,2958
51021,51, Virginia,021,Bland County,61375,2345,112,84,81,69,121,112,73,128,156,165,335,212,368,163,91,75
51023,51, Virginia,023,Botetourt County,80467,13105,419,350,355,346,350,386,488,456,393,895,1745,1995,1578,1146,1073,1130
51025,51, Virginia,025,Brunswick County,52978,6390,263,356,342,449,483,361,224,183,338,567,551,855,425,397,281,315
51027,51, Virginia,027,Buchanan County,42216,7351,602,587,477,591,300,385,511,505,516,555,486,707,546,265,176,142
51029,51, Virginia,029,Buckingham County,59199,6062,231,293,284,366,292,342,319,259,116,554,691,799,615,284,381,236
51031,51, Virginia,031,Campbell County,62608,22080,912,684,879,771,1160,835,1174,1029,967,2316,2240,3045,1814,1417,1850,987
51033,51, Virginia,033,Caroline County,86267,11680,424,215,243,463,244,284,562,387,620,615,901,1712,1652,902,1422,1034
51035,51, Virginia,035,Carroll County,52575,12493,875,842,533,542,901,839,558,478,432,961,1415,1481,1342,555,425,314
51036,51, Virginia,036,Charles City County,70339,2947,204,105,137,114,78,69,69,113,122,206,344,507,275,192,216,196
51037,51, Virginia,037,Charlotte County,48892,4621,381,527,240,202,178,202,260,214,126,230,483,543,404,238,332,61
51041,51, Virginia,041,Chesterfield County,98910,136996,4029,1997,2462,3241,3224,3293,4018,3541,3417,8394,13631,17993,15934,13941,16347,21534
51043,51, Virginia,043,Clarke County,114185,5651,95,120,136,76,85,72,252,113,165,265,568,659,525,736,837,947
51045,51, Virginia,045,Craig County,67778,1752,57,53,37,180,84,17,45,24,71,267,146,203,115,204,160,89
51047,51, Virginia,047,Culpeper County,96098,18584,653,394,331,346,534,492,701,383,688,1343,1507,2353,2480,1771,2454,2154
51049,51, Virginia,049,Cumberland County,57057,4175,177,202,154,44,180,209,149,471,145,499,436,445,287,243,302,232
51051,51, Virginia,051,Dickenson County,43831,5717,483,463,465,317,354,354,193,331,286,550,357,627,346,338,156,97
51053,51, Virginia,053,Dinwiddie County,83898,10427,624,438,264,173,277,294,245,474,241,576,965,1935,896,1130,973,922
