GEOID,STATEFP,STATE,COUNTYFP,COUNTY,TOT_HOUS23,TOT_CHI23,TOT_MAR23,TOT_MAL23,TOT_FEM23,TOT_BPOV23,CHI_BPOV23,MAR_BPOV23,MAL_BPOV23,FEM_BPOV23,TOT_APOV23,CHI_APOV23,MAR_APOV23,MAL_APOV23,FEM_APOV23,TOT_CVAP23,BPV_CVAP23,APV_CVAP23
51001,51, Virginia,001,Accomack County,9145,3352,1782,536,1034,931,665,144,58,463,8214,2687,1638,478,571,23877,3061,20816
51003,51, Virginia,003,Albemarle County,28029,12734,9216,931,2587,1038,731,103,45,583,26991,12003,9113,886,2004,78225,4950,73275
51005,51, Virginia,005,Alleghany County,3759,1363,928,110,325,364,150,36,0,114,3395,1213,892,110,211,11883,1582,10301
51007,51, Virginia,007,Amelia County,3616,1430,1272,31,127,176,123,60,0,63,3440,1307,1212,31,64,10316,983,9333
51009,51, Virginia,009,Amherst County,8134,3142,2102,332,708,592,388,164,76,148,7542,2754,1938,256,560,24237,2428,21809
51011,51, Virginia,011,Appomattox County,4535,2035,1274,226,535,396,261,55,33,173,4139,1774,1219,193,362,12624,1319,11305
51013,51, Virginia,013,Arlington County,49741,22755,17994,1458,3303,2494,1523,706,240,577,47247,21232,17288,1218,2726,167299,9558,157741
51015,51, Virginia,015,Augusta County,20980,8027,5663,757,1607,1098,883,315,133,435,19882,7144,5348,624,1172,59001,3498,55503
51017,51, Virginia,017,Bath County,1129,400,311,15,74,138,111,99,0,12,991,289,212,15,62,3290,645,2645
51019,51, Virginia,019,Bedford County,22887,8270,6092,721,1457,1173,702,286,51,365,21714,7568,5806,670,1092,63169,4894,58275
51021,51, Virginia,021,Bland County,1485,423,335,53,35,127,55,55,0,0,1358,368,280,53,35,4399,500,3899
51023,51, Virginia,023,Botetourt County,9099,3245,2343,382,520,302,129,20,43,66,8797,3116,2323,339,454,27007,1705,25302
51025,51, Virginia,025,Brunswick County,3839,1859,745,277,837,494,413,52,143,218,3345,1446,693,134,619,10933,1456,9477
51027,51, Virginia,027,Buchanan County,4956,1902,1268,144,490,885,570,310,54,206,4071,1332,958,90,284,15420,3340,12080
51029,51, Virginia,029,Buckingham County,4031,1757,1109,225,423,444,349,86,48,215,3587,1408,1023,177,208,11727,1322,10405
51031,51, Virginia,031,Campbell County,14596,5892,4019,411,1462,1040,683,216,113,354,13556,5209,3803,298,1108,42882,4142,38740
51033,51, Virginia,033,Caroline County,8191,3702,2455,332,915,589,462,160,13,289,7602,3240,2295,319,626,22675,2160,20515
51035,51, Virginia,035,Carroll County,8097,2694,1798,257,639,908,556,164,84,308,7189,2138,1634,173,331,23450,3417,20033
51036,51, Virginia,036,Charles City County,1787,519,292,42,185,147,52,4,2,46,1640,467,288,40,139,5632,625,5007
51037,51, Virginia,037,Charlotte County,2720,1281,662,69,550,623,502,65,29,408,2097,779,597,40,142,8741,1840,6901
51041,51, Virginia,041,Chesterfield County,99171,48509,34052,3653,10804,4720,3522,1167,290,2065,94451,44987,32885,3363,8739,264028,15479,248549
51043,51, Virginia,043,Clarke County,4027,1438,1112,131,195,127,89,53,27,9,3900,1349,1059,104,186,11614,699,10915
51045,51, Virginia,045,Craig County,1304,393,294,4,95,136,66,22,1,43,1168,327,272,3,52,3658,421,3237
51047,51, Virginia,047,Culpeper County,14191,6073,3970,444,1659,894,627,118,69,440,13297,5446,3852,375,1219,36277,2514,33763
51049,51, Virginia,049,Cumberland County,2886,1144,574,88,482,97,42,19,0,23,2789,1102,555,88,459,7819,680,7139
51051,51, Virginia,051,Dickenson County,3917,1668,1079,248,341,635,390,88,126,176,3282,1278,991,122,165,10764,1982,8782
51053,51, Virginia,053,Dinwiddie County,7427,3183,2328,296,559,623,377,80,50,247,6804,2806,2248,246,312,21357,2215,19142
51057,51, Virginia,057,Essex County,2700,1127,707,76,344,283,225,37,48,140,2417,902,670,28,204,8502,1111,7391
51059,51, Virginia,059,Fairfax County,288040,139083,111753,8120,19210,11930,8361,3255,869,4237,276110,130722,108498,7251,14973,749186,31696,717490
51061,51, Virginia,061,Fauquier County,19424,8785,6551,724,1510,823,569,319,53,197,18601,8216,6232,671,1313,53869,2744,51125
51063,51, Virginia,063,Floyd County,4286,1668,1245,197,226,190,154,55,19,80,4096,1514,1190,178,146,12418,1030,11388
51065,51, Virginia,065,Fluvanna County,7644,3152,2614,153,385,448,192,132,31,29,7196,2960,2482,122,356,20808,1497,19311
51067,51, Virginia,067,Franklin County,15435,5723,3838,676,1209,1317,1052,382,89,581,14118,4671,3456,587,628,42753,4146,38607
51069,51, Virginia,069,Frederick County,24392,10575,7457,922,2196,1083,748,58,27,663,23309,9827,7399,895,1533,66731,4172,62559
51071,51, Virginia,071,Giles County,4106,1314,1017,58,239,184,131,18,2,111,3922,1183,999,56,128,13117,1094,12023
51073,51, Virginia,073,Gloucester County,10424,3886,2847,150,889,397,284,52,45,187,10027,3602,2795,105,702,30925,1821,29104
51075,51, Virginia,075,Goochland County,7395,2328,1983,30,315,203,112,60,13,39,7192,2216,1923,17,276,20310,793,19517
51077,51, Virginia,077,Grayson County,4145,1360,953,126,281,538,329,96,83,150,3607,1031,857,43,131,11814,1983,9831
51079,51, Virginia,079,Greene County,5946,2750,1890,272,588,520,320,188,0,132,5426,2430,1702,272,456,15279,1461,13818
51081,51, Virginia,081,Greensville County,2063,948,395,11,542,170,80,19,0,61,1893,868,376,11,481,6230,822,5408
51083,51, Virginia,083,Halifax County,8288,3578,1822,230,1526,1037,761,134,36,591,7251,2817,1688,194,935,25958,3929,22029
51085,51, Virginia,085,Hanover County,30369,12909,9982,781,2146,1042,665,261,32,372,29327,12244,9721,749,1774,83532,4030,79502
51087,51, Virginia,087,Henrico County,85753,41285,26727,3371,11187,5170,3812,888,424,2500,80583,37473,25839,2947,8687,236696,16746,219950
51089,51, Virginia,089,Henry County,12188,4398,2854,415,1129,1251,866,219,153,494,10937,3532,2635,262,635,39359,5203,34156
51091,51, Virginia,091,Highland County,645,160,128,11,21,23,15,7,6,2,622,145,121,5,19,1946,187,1759
51093,51, Virginia,093,Isle of Wight County,10780,4159,3204,274,681,631,314,78,26,210,10149,3845,3126,248,471,30508,2079,28429
51095,51, Virginia,095,James City County,22271,8453,5945,621,1887,738,555,81,123,351,21533,7898,5864,498,1536,61668,3618,58050
51097,51, Virginia,097,King and Queen County,1921,637,438,60,139,212,193,72,14,107,1709,444,366,46,32,5480,721,4759
51099,51, Virginia,099,King George County,7153,3321,2530,213,578,304,139,41,16,82,6849,3182,2489,197,496,20112,1275,18837
51101,51, Virginia,101,King William County,5218,2301,1698,225,378,307,181,74,47,60,4911,2120,1624,178,318,13890,1021,12869
51103,51, Virginia,103,Lancaster County,3186,935,440,82,413,331,208,18,12,178,2855,727,422,70,235,8954,1052,7902
51105,51, Virginia,105,Lee County,5414,1986,1052,249,685,1130,685,155,70,460,4284,1301,897,179,225,16440,3732,12708
51107,51, Virginia,107,Loudoun County,110315,63719,53722,3423,6574,3216,2124,937,152,1035,107099,61595,52785,3271,5539,272902,9329,263573
51109,51, Virginia,109,Louisa County,11230,4607,3377,400,830,780,542,272,24,246,10450,4065,3105,376,584,30454,2686,27768
51111,51, Virginia,111,Lunenburg County,3008,1170,654,93,423,408,285,9,45,231,2600,885,645,48,192,8466,1234,7232
51113,51, Virginia,113,Madison County,3824,1560,1162,136,262,188,63,31,0,32,3636,1497,1131,136,230,10783,754,10029
51115,51, Virginia,115,Mathews County,2356,712,479,84,149,89,66,0,66,0,2267,646,479,18,149,7100,413,6687
51117,51, Virginia,117,Mecklenburg County,7876,2775,1310,579,886,937,654,48,194,412,6939,2121,1262,385,474,23340,3676,19664
51119,51, Virginia,119,Middlesex County,3012,809,476,118,215,249,97,17,8,72,2763,712,459,110,143,8605,765,7840
51121,51, Virginia,121,Montgomery County,19426,8911,6586,693,1632,1502,1051,370,25,656,17924,7860,6216,668,976,68538,17386,51152
51125,51, Virginia,125,Nelson County,3987,1184,913,48,223,382,112,56,0,56,3605,1072,857,48,167,11842,1766,10076
51127,51, Virginia,127,New Kent County,7175,3271,2604,117,550,309,275,52,51,172,6866,2996,2552,66,378,18447,1000,17447
51131,51, Virginia,131,Northampton County,3386,1081,617,110,354,364,278,93,8,177,3022,803,524,102,177,9191,1239,7952
51133,51, Virginia,133,Northumberland County,3433,820,383,37,400,192,76,52,9,15,3241,744,331,28,385,10270,1002,9268
51135,51, Virginia,135,Nottoway County,3398,1469,818,150,501,407,256,62,55,139,2991,1213,756,95,362,10619,2033,8586
51137,51, Virginia,137,Orange County,10405,4116,2606,425,1085,797,605,119,29,457,9608,3511,2487,396,628,28014,2347,25667
51139,51, Virginia,139,Page County,6235,2292,1625,196,471,415,179,41,54,84,5820,2113,1584,142,387,18586,1779,16807
51141,51, Virginia,141,Patrick County,4927,1694,1350,112,232,398,201,112,23,66,4529,1493,1238,89,166,14034,1535,12499
51143,51, Virginia,143,Pittsylvania County,16090,6160,3469,833,1858,1671,1005,249,134,622,14419,5155,3220,699,1236,47651,6779,40872
51145,51, Virginia,145,Powhatan County,8701,3319,2706,305,308,185,49,25,17,7,8516,3270,2681,288,301,23909,875,23034
51147,51, Virginia,147,Prince Edward County,4434,1881,1068,212,601,497,326,75,40,211,3937,1555,993,172,390,13722,2818,10904
51149,51, Virginia,149,Prince George County,9956,4960,3031,559,1370,673,366,0,35,331,9283,4594,3031,524,1039,26887,1987,24900
51153,51, Virginia,153,Prince William County,117784,63696,47773,5072,10851,5309,4106,1807,329,1970,112475,59590,45966,4743,8881,304658,14077,290581
51155,51, Virginia,155,Pulaski County,8850,3563,2376,384,803,781,561,161,124,276,8069,3002,2215,260,527,26594,3371,23223
51157,51, Virginia,157,Rappahannock County,1995,562,293,111,158,90,57,0,3,54,1905,505,293,108,104,6002,503,5499
51159,51, Virginia,159,Richmond County,1810,702,526,61,115,71,13,8,0,5,1739,689,518,61,110,5689,653,5036
51161,51, Virginia,161,Roanoke County,25298,11164,7674,1206,2284,997,694,157,63,474,24301,10470,7517,1143,1810,73033,5266,67767
51163,51, Virginia,163,Rockbridge County,6414,2029,1258,255,516,325,144,34,44,66,6089,1885,1224,211,450,18060,1385,16675
51165,51, Virginia,165,Rockingham County,22324,9894,6984,1063,1847,1405,1036,174,284,578,20919,8858,6810,779,1269,61799,5410,56389
51167,51, Virginia,167,Russell County,6903,2526,1806,250,470,807,420,219,34,167,6096,2106,1587,216,303,20549,3688,16861
51169,51, Virginia,169,Scott County,5451,2001,1406,136,459,744,370,101,10,259,4707,1631,1305,126,200,16847,2961,13886
51171,51, Virginia,171,Shenandoah County,11419,4317,2586,392,1339,997,734,188,45,501,10422,3583,2398,347,838,33463,3265,30198
51173,51, Virginia,173,Smyth County,7903,3089,1758,462,869,915,483,33,132,318,6988,2606,1725,330,551,22851,3587,19264
51175,51, Virginia,175,Southampton County,4732,1786,1077,175,534,333,162,6,0,156,4399,1624,1071,175,378,13134,1183,11951
51177,51, Virginia,177,Spotsylvania County,38137,18318,13651,1391,3276,1909,1356,523,138,695,36228,16962,13128,1253,2581,102930,5836,97094
51179,51, Virginia,179,Stafford County,39989,21510,16918,1158,3434,1429,1166,557,54,555,38560,20344,16361,1104,2879,107172,4319,102853
51181,51, Virginia,181,Surry County,1940,776,487,17,272,192,146,39,0,107,1748,630,448,17,165,5383,487,4896
51183,51, Virginia,183,Sussex County,2400,973,403,291,279,165,134,4,29,101,2235,839,399,262,178,7450,765,6685
51185,51, Virginia,185,Tazewell County,10356,4201,2500,334,1367,1514,1138,212,100,826,8842,3063,2288,234,541,30378,5053,25325
51187,51, Virginia,187,Warren County,10654,4831,3438,459,934,988,820,338,65,417,9666,4011,3100,394,517,30145,2841,27304
51191,51, Virginia,191,Washington County,14336,5108,3529,363,1216,969,685,235,52,398,13367,4423,3294,311,818,42959,4565,38394
51193,51, Virginia,193,Westmoreland County,4580,1710,870,209,631,415,344,20,89,235,4165,1366,850,120,396,14865,1925,12940
51195,51, Virginia,195,Wise County,9461,4065,2521,428,1116,1211,698,203,112,383,8250,3367,2318,316,733,25880,4319,21561
51197,51, Virginia,197,Wythe County,7748,3001,2062,340,599,821,552,252,62,238,6927,2449,1810,278,361,22394,3068,19326
51199,51, Virginia,199,York County,19438,9429,7057,691,1681,644,447,136,57,254,18794,8982,6921,634,1427,51208,2672,48536
51510,51, Virginia,510,Alexandria city,34192,15602,10922,1324,3356,2108,1640,763,108,769,32084,13962,10159,1216,2587,109388,6497,102891
51520,51, Virginia,520,Bristol city,4084,1817,705,238,874,602,386,38,17,331,3482,1431,667,221,543,13283,2189,11094
51530,51, Virginia,530,Buena Vista city,1804,711,280,154,277,306,221,29,11,181,1498,490,251,143,96,4676,872,3804
51540,51, Virginia,540,Charlottesville city,8849,4531,2857,504,1170,835,594,105,9,480,8014,3937,2752,495,690,33328,7111,26217
51550,51, Virginia,550,Chesapeake city,66884,33923,23111,2125,8687,4238,3015,610,366,2039,62646,30908,22501,1759,6648,180984,13544,167440
51570,51, Virginia,570,Colonial Heights city,5001,2475,1307,120,1048,463,407,51,11,345,4538,2068,1256,109,703,13175,1062,12113
