GEOID,STATEFP,STATE,COUNTYFP,COUNTY,TOT_POP23,NHSP_POP23,HSP_POP23,WHT_NHSP23,BLK_NHSP23,AIA_NHSP23,ASN_NHSP23,HPI_NHSP23,OTH_NHSP23,2OM_NHSP23,BLK_ALL23,AIA_ALL23,ASN_ALL23,HPI_ALL23,OTH_ALL23
51001,51, Virginia,001,Accomack County,33326,29798,3528,19423,9037,33,285,0,87,933,9634,388,334,0,2870
51003,51, Virginia,003,Albemarle County,113683,105335,8348,84141,9989,59,6278,34,384,4450,12702,689,7721,190,6513
51005,51, Virginia,005,Alleghany County,14962,14737,225,13674,828,0,10,0,0,225,924,13,120,0,84
51007,51, Virginia,007,Amelia County,13342,13090,252,9778,2710,0,1,0,0,601,3018,181,12,0,346
51009,51, Virginia,009,Amherst County,31385,30495,890,23205,5496,198,197,20,349,1030,6165,466,313,50,1148
51011,51, Virginia,011,Appomattox County,16424,16056,368,12498,2799,1,25,0,297,436,3137,148,88,49,490
51013,51, Virginia,013,Arlington County,235463,198409,37054,138514,21676,339,24656,56,1410,11758,27023,3342,31174,407,29878
51015,51, Virginia,015,Augusta County,77713,74782,2931,68690,3314,127,316,78,334,1923,4177,531,791,78,2382
51017,51, Virginia,017,Bath County,4123,3970,153,3733,155,13,18,0,26,25,170,28,39,0,161
51019,51, Virginia,019,Bedford County,80254,78080,2174,68692,4791,83,890,0,700,2924,6316,622,1501,178,2646
51021,51, Virginia,021,Bland County,6211,6170,41,5780,288,5,17,0,0,80,337,36,41,0,11
51023,51, Virginia,023,Botetourt County,33875,33072,803,30773,800,38,199,84,162,1016,1192,277,416,89,943
51025,51, Virginia,025,Brunswick County,15868,15434,434,6498,8443,22,74,0,3,394,8853,210,99,5,371
51027,51, Virginia,027,Buchanan County,19857,19655,202,19000,468,0,50,0,0,137,589,123,103,0,80
51029,51, Virginia,029,Buckingham County,16914,16480,434,10279,5402,11,33,0,33,722,5862,145,86,0,474
51031,51, Virginia,031,Campbell County,55398,53536,1862,42795,7942,76,584,36,267,1836,9161,735,809,60,2030
51033,51, Virginia,033,Caroline County,31541,29321,2220,19405,7412,121,376,0,374,1633,8966,699,555,123,2257
51035,51, Virginia,035,Carroll County,29158,28030,1128,27309,97,20,44,9,25,526,508,206,71,17,800
51036,51, Virginia,036,Charles City County,6686,6553,133,2964,2697,379,80,0,24,409,3010,638,120,1,106
51037,51, Virginia,037,Charlotte County,11475,11193,282,7844,2875,0,20,0,13,441,3237,88,28,0,107
51041,51, Virginia,041,Chesterfield County,371610,329210,42400,213334,85344,235,13013,206,2722,14356,97175,4981,17165,532,35947
51043,51, Virginia,043,Clarke County,15060,13997,1063,12532,740,38,169,0,76,442,1014,159,291,25,848
51045,51, Virginia,045,Craig County,4881,4843,38,4648,3,0,0,0,77,115,84,97,23,12,93
51047,51, Virginia,047,Culpeper County,53563,45651,7912,35089,6872,142,619,28,255,2646,8389,458,1453,51,7050
51049,51, Virginia,049,Cumberland County,9745,9573,172,6235,2807,5,0,9,0,517,3248,151,0,9,172
51051,51, Virginia,051,Dickenson County,13920,13819,101,13580,141,18,31,0,6,43,173,66,31,0,65
51053,51, Virginia,053,Dinwiddie County,28083,26913,1170,17511,8595,7,174,0,178,448,8828,59,343,0,838
51057,51, Virginia,057,Essex County,10604,10143,461,5705,3961,14,56,8,7,392,4137,139,186,36,269
51059,51, Virginia,059,Fairfax County,1144474,945321,199153,543842,109882,1132,227232,514,8214,54505,134011,17485,261616,2989,159359
51061,51, Virginia,061,Fauquier County,73935,65311,8624,55960,4592,28,1277,20,343,3091,6580,1269,1932,251,5089
51063,51, Virginia,063,Floyd County,15560,15089,471,14382,433,0,65,0,43,166,451,111,129,0,342
51065,51, Virginia,065,Fluvanna County,27764,26552,1212,20953,3512,44,241,0,344,1458,4464,430,495,47,1245
51067,51, Virginia,067,Franklin County,54958,52976,1982,47191,4249,15,386,5,21,1109,5124,699,437,16,1380
51069,51, Virginia,069,Frederick County,93355,82403,10952,73410,3888,57,1753,97,385,2813,5555,1306,2434,261,7565
51071,51, Virginia,071,Giles County,16610,16330,280,15666,373,2,84,19,0,186,456,85,98,19,257
51073,51, Virginia,073,Gloucester County,39228,37642,1586,32546,3192,26,304,0,75,1499,3583,634,740,0,1489
51075,51, Virginia,075,Goochland County,25613,24679,934,19847,3677,13,423,0,21,698,4010,174,576,4,675
51077,51, Virginia,077,Grayson County,15323,14701,622,13480,794,0,174,0,38,215,928,166,237,0,384
51079,51, Virginia,079,Greene County,20850,19401,1449,16578,1411,14,525,24,180,669,2073,379,603,24,1389
51081,51, Virginia,081,Greensville County,11304,10727,577,3997,5958,0,29,0,21,722,6563,489,191,0,401
51083,51, Virginia,083,Halifax County,33811,32971,840,20130,11731,29,156,0,13,912,12490,429,282,0,735
51085,51, Virginia,085,Hanover County,111652,107449,4203,90634,9354,116,1974,80,628,4663,11808,1222,3274,184,4167
51087,51, Virginia,087,Henrico County,334434,312060,22374,167297,98216,400,31692,138,1508,12809,107318,3853,36071,606,20267
51089,51, Virginia,089,Henry County,50365,46998,3367,34218,11249,41,214,0,128,1148,11961,398,448,0,2549
51091,51, Virginia,091,Highland County,2265,2265,0,2139,0,0,70,0,0,56,25,26,72,0,8
